wID	word	lemma	PoS	
835	justicia	justicia	nms    
836	estamos	estar	vip-1p
837	común	común	jms    
838	real	real	jms    
839	público	público	nms    
840	interesante	interesante	jms    
841	fuerte	fuerte	jms    
842	escribir	escribir	vr
843	fecha	fecha	nfs    
844	autoridades	autoridad	nfp    
845	análisis	análisis	nmp    
846	mejorar	mejorar	vr
847	solamente	solamente	r
848	amigo	amigo	nms    
849	Internet	internet	o
850	formación	formación	nfs    
851	gracias	gracias	e_21
852	negocio	negocio	nms    
853	Todos	todo	dxmp-ind-
854	mismos	mismo	px-mp
855	Colombia	colombia	o
856	origen	origen	nms    
857	estilo	estilo	nms    
858	pocos	poco	dxmp-ind-
859	septiembre	septiembre	nms    
860	político	político	jms    
861	a	a	e
862	Todo	todo	dxms-ind-
863	Según	según	e
864	aplicación	aplicación	nfs    
865	muy	muy	r
866	estudiantes	estudiante	nmp    
867	ayudar	ayudar	vr
868	dirección	dirección	nfs    
869	podrá	poder	vif-3s
870	pareja	pareja	nfs    
871	hecho	hecho	r
872	tecnología	tecnología	nfs    
873	versión	versión	nfs    
874	general	general	r
875	vamos	ir	vip-1p
876	construcción	construcción	nfs    
877	obtener	obtener	vr
878	lugares	lugar	nmp    
879	Entonces	entonces	r
880	una	una	r
881	allá	allá	r
882	programas	programa	nmp    
883	director	director	nms    
884	llama	llamar	vip-3s
885	Luego	luego	r
886	habla	hablar	vip-3s
887	peso	peso	nms    
888	a	a	e
889	ciento	ciento	mc
890	redes	red	nfp    
891	por	por	e
892	efecto	efecto	nms    
893	prensa	prensa	nfs    
894	junio	junio	nms    
895	medio	medio	e_32
896	anterior	anterior	jms    
897	sangre	sangre	nfs    
898	Gracias	gracias	i
899	San	san	o
900	haga	hacer	vsp-1/3s
901	Cristo	cristo	o
902	simple	simple	jms    
903	alta	alto	j
904	mundial	mundial	jms    
905	los	el	ld-mp
906	plan	plan	nms    
907	cara	cara	nms    
908	económico	económico	jms    
909	de	de	e
910	Creo	creer	vip-1s
911	Son	ser	vip-3p
912	miembros	miembro	nmp    
913	aprender	aprender	vr
914	debería	deber	vc-1/3s
915	podía	poder	vii-1/3s
916	veo	ver	vip-1s
917	totalmente	totalmente	r
918	Argentina	argentina	o
919	área	área	nfs    
920	total	total	jms    
921	imágenes	imagen	nfp    
922	El	el	o
923	pagar	pagar	vr
924	capital	capital	nms    
925	sino	sino	cc-
926	económica	económico	jfs    
927	pena	pena	nfs    
928	conseguir	conseguir	vr
929	llega	llegar	vip-3s
930	necesidades	necesidad	nfp    
931	2013	2013	m$
932	encuentran	encontrar	vip-3p
933	siguientes	siguiente	jmp    
934	La	la	o
935	alimentos	alimento	nmp    
936	presente	presente	jms    
937	mientras	mientras	cS_21
938	peor	peor	j
939	cine	cine	nms    
940	existencia	existencia	nfs    
941	leyes	leyes	nfp    
942	natural	natural	jms    
943	intereses	interés	nmp    
944	tiempos	tiempo	nmp    
945	sabemos	saber	vip-1p
946	buenos	bueno	jmp    
947	escuela	escuela	nfs    
948	post	post	j
